Repository_title,Contributors_count,Language
opentofu / opentofu,5,Go
ProjectUnifree / unifree,5,Python
williamyang1991 / Rerender_A_Video,2,Jupyter Notebook
PowerShell / PowerShell,5,C#
CorentinJ / Real-Time-Voice-Cloning,5,Python
mastodon / mastodon,5,Ruby
NExT-GPT / NExT-GPT,4,Python
WooooDyy / LLM-Agent-Paper-List,5,NA
daveshap / ACE_Framework,2,NA
coqui-ai / TTS,5,Python
makeplane / plane,5,TypeScript
nolimits4web / swiper,5,JavaScript
basecamp / kamal,5,Ruby
sczhou / ProPainter,2,Python
coder2gwy / coder2gwy,3,NA
vercel / next.js,5,JavaScript
meshery / meshery,5,Go
usememos / memos,5,Go
aiwaves-cn / agents,5,Python
D4RK-R4BB1T / Dark-Web-Archives,2,PHP
hyperdxio / hyperdx,2,TypeScript
fmtlib / fmt,5,C++
ripienaar / free-for-dev,5,HTML
public-apis / public-apis,5,Python
zhudotexe / kani,5,Python
