Rank,Title,Author,Volume Sales,Publisher,Genre
1,"Da Vinci Code,The","Brown, Dan","50,94,805",Transworld,"Crime, Thriller & Adventure"
2,Harry Potter and the Deathly Hallows,"Rowling, J.K.","44,75,152",Bloomsbury,Children's Fiction
3,Harry Potter and the Philosopher's Stone,"Rowling, J.K.","42,00,654",Bloomsbury,Children's Fiction
4,Harry Potter and the Order of the Phoenix,"Rowling, J.K.","41,79,479",Bloomsbury,Children's Fiction
5,Fifty Shades of Grey,"James, E. L.","37,58,936",Random House,Romance & Sagas
6,Harry Potter and the Goblet of Fire,"Rowling, J.K.","35,83,215",Bloomsbury,Children's Fiction
7,Harry Potter and the Chamber of Secrets,"Rowling, J.K.","34,84,047",Bloomsbury,Children's Fiction
8,Harry Potter and the Prisoner of Azkaban,"Rowling, J.K.","33,77,906",Bloomsbury,Children's Fiction
9,Angels and Demons,"Brown, Dan","31,93,946",Transworld,"Crime, Thriller & Adventure"
10,Harry Potter and the Half-blood Prince:Children's Edition,"Rowling, J.K.","29,50,264",Bloomsbury,Children's Fiction
11,Fifty Shades Darker,"James, E. L.","24,79,784",Random House,Romance & Sagas
12,Twilight,"Meyer, Stephenie","23,15,405","Little, Brown Book",Young Adult Fiction
13,"Girl with the Dragon Tattoo,The:Millennium Trilogy","Larsson, Stieg","22,33,570",Quercus,"Crime, Thriller & Adventure"
14,Fifty Shades Freed,"James, E. L.","21,93,928",Random House,Romance & Sagas
15,"Lost Symbol,The","Brown, Dan","21,83,031",Transworld,"Crime, Thriller & Adventure"
16,New Moon,"Meyer, Stephenie","21,52,737","Little, Brown Book",Young Adult Fiction
17,Deception Point,"Brown, Dan","20,62,145",Transworld,"Crime, Thriller & Adventure"
18,Eclipse,"Meyer, Stephenie","20,52,876","Little, Brown Book",Young Adult Fiction
19,"Lovely Bones,The","Sebold, Alice","20,05,598",Pan Macmillan,General & Literary Fiction
20,"Curious Incident of the Dog in the Night-time,The","Haddon, Mark","19,79,552",Random House,General & Literary Fiction
21,Digital Fortress,"Brown, Dan","19,28,900",Transworld,"Crime, Thriller & Adventure"
22,"Short History of Nearly Everything,A","Bryson, Bill","18,52,919",Transworld,Popular Science
23,"Girl Who Played with Fire,The:Millennium Trilogy","Larsson, Stieg","18,14,784",Quercus,"Crime, Thriller & Adventure"
24,Breaking Dawn,"Meyer, Stephenie","17,87,118","Little, Brown Book",Young Adult Fiction
25,"Very Hungry Caterpillar,The:The Very Hungry Caterpillar","Carle, Eric","17,83,535",Penguin,Picture Books
26,"Gruffalo,The","Donaldson, Julia","17,81,269",Pan Macmillan,Picture Books
27,Jamie's 30-Minute Meals,"Oliver, Jamie","17,43,266",Penguin,Food & Drink: General
28,"Kite Runner,The","Hosseini, Khaled","16,29,119",Bloomsbury,General & Literary Fiction
29,One Day,"Nicholls, David","16,16,068",Hodder & Stoughton,General & Literary Fiction
30,"Thousand Splendid Suns,A","Hosseini, Khaled","15,83,992",Bloomsbury,General & Literary Fiction
31,"Girl Who Kicked the Hornets' Nest,The:Millennium Trilogy","Larsson, Stieg","15,55,135",Quercus,"Crime, Thriller & Adventure"
32,"Time Traveler's Wife,The","Niffenegger, Audrey","15,46,886",Random House,General & Literary Fiction
33,Atonement,"McEwan, Ian","15,39,428",Random House,General & Literary Fiction
34,Bridget Jones's Diary:A Novel,"Fielding, Helen","15,08,205",Pan Macmillan,General & Literary Fiction
35,"World According to Clarkson,The","Clarkson, Jeremy","14,89,403",Penguin,Humour: Collections & General
36,Captain Corelli's Mandolin,"Bernieres, Louis de","13,52,318",Random House,General & Literary Fiction
37,"Sound of Laughter,The","Kay, Peter","13,10,207",Random House,Autobiography: General
38,Life of Pi,"Martel, Yann","13,10,176",Canongate,General & Literary Fiction
39,Billy Connolly,"Stephenson, Pamela","12,31,957",HarperCollins,Biography: The Arts
40,"Child Called It,A","Pelzer, Dave","12,17,712",Orion,Autobiography: General
41,"Gruffalo's Child,The","Donaldson, Julia","12,08,711",Pan Macmillan,Picture Books
42,Angela's Ashes:A Memoir of a Childhood,"McCourt, Frank","12,04,058",HarperCollins,Autobiography: General
43,Birdsong,"Faulks, Sebastian","11,84,967",Random House,General & Literary Fiction
44,Northern Lights:His Dark Materials S.,"Pullman, Philip","11,81,503",Scholastic Ltd.,Young Adult Fiction
45,Labyrinth,"Mosse, Kate","11,81,093",Orion,General & Literary Fiction
46,Harry Potter and the Half-blood Prince,"Rowling, J.K.","11,53,181",Bloomsbury,Science Fiction & Fantasy
47,"Help,The","Stockett, Kathryn","11,32,336",Penguin,General & Literary Fiction
48,Man and Boy,"Parsons, Tony","11,30,802",HarperCollins,General & Literary Fiction
49,Memoirs of a Geisha,"Golden, Arthur","11,26,337",Random House,General & Literary Fiction
50,"No.1 Ladies' Detective Agency,The:No.1 Ladies' Detective Agency S.","McCall Smith, Alexander","11,15,549","Little, Brown Book","Crime, Thriller & Adventure"
51,"Island,The","Hislop, Victoria","11,08,328",Headline,General & Literary Fiction
52,"PS, I Love You","Ahern, Cecelia","11,07,379",HarperCollins,General & Literary Fiction
53,You are What You Eat:The Plan That Will Change Your Life,"McKeith, Gillian","11,04,403",Penguin,Fitness & Diet
54,"Shadow of the Wind,The","Zafon, Carlos Ruiz","10,92,349",Orion,General & Literary Fiction
55,"Tales of Beedle the Bard,The","Rowling, J.K.","10,90,847",Bloomsbury,Children's Fiction
56,"Broker,The","Grisham, John","10,87,262",Random House,"Crime, Thriller & Adventure"
57,"Dr. Atkins' New Diet Revolution:The No-hunger, Luxurious Weight Loss P","Atkins, Robert C.","10,54,196",Random House,Fitness & Diet
58,"Subtle Knife,The:His Dark Materials S.","Pullman, Philip","10,37,160",Scholastic Ltd.,Young Adult Fiction
