Name,Year Span,Genre,Run Time,Ratings,Votes
Game of Thrones,(2011–2019),"Action, Adventure, Drama",57 min,9.2,
Stranger Things,(2016–2025),"Drama, Fantasy, Horror",51 min,8.7,
The Walking Dead,(2010–2022),"Drama, Horror, Thriller",44 min,8.1,
13 Reasons Why,(2017–2020),"Drama, Mystery, Thriller",60 min,7.5,
The 100,(2014–2020),"Drama, Mystery, Sci-Fi",43 min,7.6,
Orange Is the New Black,(2013–2019),"Comedy, Crime, Drama",59 min,8,
Riverdale,(2017–2023),"Crime, Drama, Mystery",45 min,6.5,
Grey's Anatomy,(2005– ),"Drama, Romance",41 min,7.6,
The Flash,(2014–2023),"Action, Adventure, Drama",43 min,7.5,
Arrow,(2012–2020),"Action, Adventure, Crime",42 min,7.5,
Money Heist,(2017–2021),"Action, Crime, Drama",70 min,8.2,
The Big Bang Theory,(2007–2019),"Comedy, Romance",22 min,8.2,
Black Mirror,(2011– ),"Drama, Mystery, Sci-Fi",60 min,8.7,
Sherlock,(2010–2017),"Crime, Drama, Mystery",88 min,9.1,
Vikings,(2013–2020),"Action, Adventure, Drama",44 min,8.5,
Pretty Little Liars,(2010–2017),"Drama, Mystery, Romance",44 min,7.4,
The Vampire Diaries,(2009–2017),"Drama, Fantasy, Horror",43 min,7.7,
American Horror Story,(2011– ),"Drama, Horror, Sci-Fi",60 min,8,
Breaking Bad,(2008–2013),"Crime, Drama, Thriller",49 min,9.5,
Lucifer,(2016–2021),"Crime, Drama, Fantasy",42 min,8.1,
Supernatural,(2005–2020),"Drama, Fantasy, Horror",44 min,8.4,
Prison Break,(2005–2017),"Action, Crime, Drama",44 min,8.3,
How to Get Away with Murder,(2014–2020),"Crime, Drama, Mystery",43 min,8.1,
Teen Wolf,(2011–2017),"Action, Drama, Fantasy",41 min,7.7,
The Simpsons,(1989– ),"Animation, Comedy",22 min,8.7,
Once Upon a Time,(2011–2018),"Adventure, Fantasy, Romance",60 min,7.7,
Narcos,(I) (2015–2017),"Biography, Crime, Drama",49 min,8.8,
Daredevil,(2015–2018),"Action, Crime, Drama",54 min,8.6,
Friends,(1994–2004),"Comedy, Romance",22 min,8.9,
How I Met Your Mother,(2005–2014),"Comedy, Drama, Romance",22 min,8.3,
Suits,(2011–2019),"Comedy, Drama",44 min,8.4,
Mr. Robot,(2015–2019),"Crime, Drama, Thriller",49 min,8.5,
The Originals,(2013–2018),"Drama, Fantasy, Horror",45 min,8.3,
Supergirl,(2015–2021),"Action, Adventure, Drama",43 min,6.2,
Gossip Girl,(2007–2012),"Drama, Romance",42 min,7.5,
Sense8,(2015–2018),"Drama, Mystery, Sci-Fi",60 min,8.2,
Gotham,(2014–2019),"Action, Crime, Drama",42 min,7.8,
Westworld,(2016–2022),"Drama, Mystery, Sci-Fi",62 min,8.5,
Jessica Jones,(2015–2019),"Action, Crime, Drama",56 min,7.9,
Modern Family,(2009–2020),"Comedy, Drama, Romance",22 min,8.5,
Rick and Morty,(2013– ),"Animation, Adventure, Comedy",23 min,9.1,
Shadowhunters,(2016–2019),"Action, Drama, Fantasy",42 min,6.5,
The End of the F***ing World,(2017–2019),"Adventure, Comedy, Crime",25 min,8,
House of Cards,(2013–2018),Drama,51 min,8.7,
Dark,(2017–2020),"Crime, Drama, Mystery",60 min,8.7,
Elite,(2018– ),"Crime, Drama, Thriller",60 min,7.3,
Sex Education,(2019–2023),"Comedy, Drama",45 min,8.3,
Shameless,(2011–2021),"Comedy, Drama",46 min,8.5,
New Girl,(2011–2018),"Comedy, Romance",22 min,7.8,
Agents of S.H.I.E.L.D.,(2013–2020),"Action, Adventure, Drama",45 min,7.5,
You,(2018–2024),"Crime, Drama, Romance",45 min,7.7,
Dexter,(2006–2013),"Crime, Drama, Mystery",53 min,8.7,
Fear the Walking Dead,(2015–2023),"Drama, Horror, Sci-Fi",44 min,6.8,
Family Guy,(1999– ),"Animation, Comedy",22 min,8.2,
The Blacklist,(2013–2023),"Crime, Drama, Mystery",43 min,8,
Lost,(2004–2010),"Adventure, Drama, Fantasy",44 min,8.3,
Peaky Blinders,(2013–2022),"Crime, Drama",60 min,8.8,
House,(2004–2012),"Drama, Mystery",44 min,8.7,
Quantico,(2015–2018),"Crime, Drama, Mystery",42 min,6.7,
Orphan Black,(2013–2017),"Drama, Sci-Fi, Thriller",44 min,8.3,
Homeland,(2011–2020),"Crime, Drama, Mystery",55 min,8.3,
Blindspot,(2015–2020),"Action, Crime, Drama",42 min,7.3,
DC's Legends of Tomorrow,(2016–2022),"Action, Adventure, Drama",42 min,6.8,
The Handmaid's Tale,(2017– ),"Drama, Sci-Fi, Thriller",60 min,8.4,
Chilling Adventures of Sabrina,(2018–2020),"Drama, Fantasy, Horror",60 min,7.4,
The Good Doctor,(2017– ),Drama,41 min,8,
Jane the Virgin,(2014–2019),Comedy,60 min,7.9,
Glee,(2009–2015),"Comedy, Drama, Music",44 min,6.8,
South Park,(1997– ),"Animation, Comedy",22 min,8.7,
Brooklyn Nine-Nine,(2013–2021),"Comedy, Crime",22 min,8.4,
Under the Dome,(2013–2015),"Drama, Mystery, Sci-Fi",43 min,6.5,
The Umbrella Academy,(2019–2024),"Action, Adventure, Comedy",60 min,7.9,
True Detective,(2014– ),"Crime, Drama, Mystery",55 min,8.9,
The OA,(2016–2019),"Drama, Fantasy, Mystery",60 min,7.8,
