Brand_Name,Storage_RAM_ROM,Amount P_F_Camera,Display_size_Resolution,ProcessorAndCores,Battery,Price
"Infinix HOT 20 Play (Aurora Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13Mp + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,MediaTek G37 Processor,6000 mAh Li-ion Polymer Battery,"₹7,999"
"Infinix HOT 20 Play (Racing Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13Mp + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,MediaTek G37 Processor,6000 mAh Li-ion Polymer Battery,"₹7,999"
"POCO M6 Pro 5G (Power Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP | 8MP Front Camera,17.25 cm (6.79 inch) Full HD+ Display,Snapdragon 4 Gen 2 Processor,5000 mAh Battery,"₹12,999"
"POCO C51 (Power Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,8MP Dual Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Helio G36 Processor,5000 mAh Battery,"₹6,499"
"POCO C51 (Royal Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,8MP Dual Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Helio G36 Processor,5000 mAh Battery,"₹6,499"
"REDMI 12 (Moonstone Silver, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 2MP | 8MP Front Camera,17.25 cm (6.79 inch) Full HD+ Display,Helio G88 Processor,5000 mAh Battery,"₹9,999"
"Infinix HOT 20 Play (Luna Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13Mp + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,MediaTek G37 Processor,6000 mAh Li-ion Polymer Battery,"₹7,999"
"POCO C55 (Cool Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP Dual Rear Camera | 5MP Front Camera,17.04 cm (6.71 inch) HD+ Display,Mediatek Helio G85 Processor,5000 mAh Battery,"₹8,499"
"POCO C50 (Royal Blue, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Dual Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",5000 mAh Lithium Polymer Battery,"₹5,499"
"Infinix HOT 20 Play (Fantasy Purple, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13Mp + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,MediaTek G37 Processor,6000 mAh Li-ion Polymer Battery,"₹7,999"
"POCO C55 (Power Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP Dual Rear Camera | 5MP Front Camera,17.04 cm (6.71 inch) HD+ Display,Mediatek Helio G85 Processor,5000 mAh Battery,"₹8,499"
"realme 11x 5G (Midnight Black, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,64MP + 2MP | 8MP Front Camera,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6100+ Processor,5000 mAh Battery,"₹15,999"
"realme 11x 5G (Purple Dawn, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,64MP + 2MP | 8MP Front Camera,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6100+ Processor,5000 mAh Battery,"₹15,999"
"realme 11x 5G (Purple Dawn, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,64MP + 2MP | 8MP Front Camera,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6100+ Processor,5000 mAh Battery,"₹14,999"
"realme 11x 5G (Midnight Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,64MP + 2MP | 8MP Front Camera,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6100+ Processor,5000 mAh Battery,"₹14,999"
"POCO M6 Pro 5G (Power Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 2MP | 8MP Front Camera,17.25 cm (6.79 inch) Full HD+ Display,Snapdragon 4 Gen 2 Processor,5000 mAh Battery,"₹10,999"
"POCO C55 (Forest Green, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP Dual Rear Camera | 5MP Front Camera,17.04 cm (6.71 inch) HD+ Display,Mediatek Helio G85 Processor,5000 mAh Battery,"₹8,499"
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)",6 GB RAM | 128 GB ROM,64MP Rear Camera | 16MP Front Camera,16.74 cm (6.59 inch) Display,12 Months,5000 mAh Battery,"₹17,674"
"MOTOROLA e13 (Aurora Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Unisoc T606 Processor,5000 mAh Battery,"₹7,299"
"REDMI 12 (Jade Black, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 2MP | 8MP Front Camera,17.25 cm (6.79 inch) Full HD+ Display,Helio G88 Processor,5000 mAh Battery,"₹9,999"
"POCO M6 Pro 5G (Forest Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 2MP | 8MP Front Camera,17.25 cm (6.79 inch) Full HD+ Display,Snapdragon 4 Gen 2 Processor,5000 mAh Battery,"₹10,999"
"POCO C50 (Country Green, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Dual Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",5000 mAh Lithium Polymer Battery,"₹5,499"
"Infinix SMART 7 (Emerald Green, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,13MP + AI Lens | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,Unisoc Spreadtrum SC9863A1 Processor,6000 mAh Battery,"₹7,599"
"Infinix SMART 7 (Azure Blue, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,13MP + AI Lens | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,Unisoc Spreadtrum SC9863A1 Processor,6000 mAh Battery,"₹7,599"
