hostel_name,distance,rating,reviews,over all,URLS,Facilites,Description
Wombat's City Hostel London,- 3.6km from city centre,(15295),9.0,Superb,https://www.hostelworld.com/pwa/hosteldetails.php/Wombat-s-City-Hostel-London/London/88047?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free City Maps', 'Free WiFi', 'Free Internet Access', 'Free City Tour']",-
St Christopher's Village,- 1.8km from city centre,(12395),8.2,Fabulous,https://www.hostelworld.com/pwa/hosteldetails.php/St-Christopher-s-Village/London/502?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free WiFi', 'Free Internet Access']","Hostelworld visitors have said St Christopher's Village is 'the place to go if you are young and want to have fun'. This 'party hostel' has 'nice staff and just the right amount of rooms/travellers', making it 'easy for anyone to meet new people'. One of our guests said this hostel is 'within short walking distance of two subway [stations] and well within walking distance from more of the major attractions in downtown London'."
NX London Hostel,- 6.1km from city centre,(1939),7.7,Very Good,https://www.hostelworld.com/pwa/hosteldetails.php/NX-London-Hostel/London/15204?from=2023-09-11&to=2023-09-14&guests=2,"['Free Breakfast', 'Linen Included', 'Towels Included', 'Free WiFi']",-
Urbany Hostel London,- 5.4km from city centre,(902),9.5,Superb,https://www.hostelworld.com/pwa/hosteldetails.php/Urbany-Hostel-London/London/303427?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free WiFi']",-
Generator London,- 3km from city centre,(7732),7.7,Very Good,https://www.hostelworld.com/pwa/hosteldetails.php/Generator-London/London/510?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free City Maps', 'Free WiFi', 'Free Internet Access']","Hostelworld guests have said Generator Hostel London is a clean, secure, 'well-organised hostel with good and professional staff'. We like their 'lively and atmospheric' bar, which travellers tell us is 'a great place to hang out a bit and have a beer while meeting nice people from around the globe'. Our users say this hostel is 'only three minutes' walk to Russell [Square] Underground Station, six minutes to King's Cross Station [and] three minutes to buses'."
Safestay London Elephant & Castle,- 1.7km from city centre,(5100),7.1,Very Good,https://www.hostelworld.com/pwa/hosteldetails.php/Safestay-London-Elephant-Castle/London/55551?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free WiFi']","Safestay at Elephant and Castle is located in South London, just five minutes from Elephant and Castle tube station, putting it just a few stops from London Bridge, Leicester Square and Piccadilly Circus. This stylish boutique-style hostel is very clean and features a continental breakfast (£6) and in-room luggage cages. Hostelworld guests have compared it favourably to a hotel. We like the privacy curtains on their beds, which create a sense of personal space even in a busy dorm."
Clink261,- 3.2km from city centre,(396),8.1,Fabulous,https://www.hostelworld.com/pwa/hosteldetails.php/Clink261/London/516?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free City Maps', 'Free WiFi']","Clink261 is near King's Cross St Pancras station, connecting travellers to both the Eurostar and Heathrow Airport. Our users have said that staying at this 'really clean and friendly' hostel 'was like having a little family'. This hostel is 'great for a cheap pace to stay in London', 'in a great location, walking distance from anything you like'. Many Hostelworld visitors have said they'd stay here again, with one user saying they 'love the design of this hostel and the fact that it's smaller and a bit more intimate'."
Phoenix Hostel,- 4.2km from city centre,(4398),7.5,Very Good,https://www.hostelworld.com/pwa/hosteldetails.php/Phoenix-Hostel/London/48221?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free City Maps', 'Free WiFi', 'Free Internet Access']",-
Safestay London Kensington Holland Park,- 5.8km from city centre,(1643),7.0,Very Good,https://www.hostelworld.com/pwa/hosteldetails.php/Safestay-London-Kensington-Holland-Park/London/93920?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free WiFi']",-
No.8 Willesden Hostel London,- 10km from city centre,(5081),6.7,Good,https://www.hostelworld.com/pwa/hosteldetails.php/No-8-Willesden-Hostel-London/London/18420?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free WiFi']",-
Destinations Hostels @ The Gallery,- 1.7km from city centre,(227),9.2,Superb,https://www.hostelworld.com/pwa/hosteldetails.php/Destinations-Hostels-The-Gallery/London/314563?from=2023-09-11&to=2023-09-14&guests=2,"['Free Breakfast', 'Linen Included', 'Free City Maps', 'Free WiFi', 'Free Internet Access']",-
Queen Elizabeth Chelsea,- 5.7km from city centre,(3551),7.5,Very Good,https://www.hostelworld.com/pwa/hosteldetails.php/Queen-Elizabeth-Chelsea/London/50443?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free City Maps', 'Free WiFi', 'Free Internet Access']",-
No.8 Seven Sisters,- 9km from city centre,(4056),5.2,-,https://www.hostelworld.com/pwa/hosteldetails.php/No-8-Seven-Sisters/London/91108?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free WiFi']",-
London Backpackers,- 11.9km from city centre,(4516),7.9,Very Good,https://www.hostelworld.com/pwa/hosteldetails.php/London-Backpackers/London/527?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free City Maps', 'Free WiFi', 'Free Internet Access']",-
Kabannas London St Pancras,- 3.3km from city centre,(2894),8.5,Fabulous,https://www.hostelworld.com/pwa/hosteldetails.php/Kabannas-London-St-Pancras/London/7010?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free City Maps', 'Free WiFi']","Kabannas London St Pancras has friendly reception and bar staff, clean rooms and a lounge which is 'real comfortable to hang around', according to our visitors, who say it offer value for money. One guest said 'I really had the impression that everyone was working to make my stay there as enjoyable for me as possible'. We like that the hostel is near King's Cross St Pancras station, making the location convenient for trains from Heathrow and Gatwick airports."
Hostelle - women only hostel London,- 5.1km from city centre,(32),8.8,Fabulous,https://www.hostelworld.com/pwa/hosteldetails.php/Hostelle-women-only-hostel-London/London/316723?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free City Maps', 'Free WiFi', 'Free Internet Access']",-
St Christopher's Camden,- 4.3km from city centre,(4088),7.5,Very Good,https://www.hostelworld.com/pwa/hosteldetails.php/St-Christopher-s-Camden/London/505?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free City Maps', 'Free WiFi', 'Free Internet Access']","If you're looking to explore the markets and music of Camden, St Christopher's Camden is a good place to start. Set right on Camden High Street, this lively hostel has been praised by Hostelworld guests for its central location, the 'super-friendly, helpful and sociable' staff and the good security. One of our reviewers said the hostel is 'great for girls travelling alone' while another said 'I could not have felt more safe and at home here'. We like the discounted food and drinks from the downstairs bar."
Prime Backpackers Angel,- 3.6km from city centre,(791),7.9,Very Good,https://www.hostelworld.com/pwa/hosteldetails.php/Prime-Backpackers-Angel/London/93902?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free City Maps', 'Towels Included', 'Free WiFi', 'Free Internet Access', 'Free City Tour']",-
Bell House Hostel,- 4.2km from city centre,(93),7.8,Very Good,https://www.hostelworld.com/pwa/hosteldetails.php/Bell-House-Hostel/London/315821?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free WiFi']",-
Saint James Backpackers,- 5.5km from city centre,(1918),7.6,Very Good,https://www.hostelworld.com/pwa/hosteldetails.php/Saint-James-Backpackers/London/70909?from=2023-09-11&to=2023-09-14&guests=2,"['Free Breakfast', 'Linen Included', 'Free City Maps', 'Free WiFi', 'Free Internet Access']","Saint James Backpackers, set in a classic Victorian town house, is quaint and typically British. Its interior is beautifully maintained, mixing modern with classic, and includes a sizeable common room with plush sofas and TV. A friendly, family run affair, it offers a selection of dorms and privates, along with full kitchen facilities, free Wi-Fi and a patio area with BBQ. It's close to Earl's Court tube station, just two stops away from London's exclusive Kensington area, and 15 minutes from the West End, where you'll find the best the city has to offer in shopping, theatre and pubs."
St Christopher's Greenwich,- 7.6km from city centre,(3383),7.8,Very Good,https://www.hostelworld.com/pwa/hosteldetails.php/St-Christopher-s-Greenwich/London/501?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free City Maps', 'Free WiFi', 'Free Internet Access']","St Christopher's Greenwich is 'ideally located if you're going to the O2 Arena' or looking for 'a quaint English town', according to Hostelworld guests, who say this hostel is 'cheap and good value for money'. Visitors say the friendly, attentive staff are 'always laughing' and 'helpful with enquiries'. Weekends are lively at this hostel, where 'you can experience a full night out there since it has a bar and a club' where you can meet 'residents and non-residents alike'. We like that it's next to the train going into Zone 1, a journey taking around 10 minutes."
"PubLove @ The Steam Engine, Waterloo",- 0.5km from city centre,(422),7.9,Very Good,https://www.hostelworld.com/pwa/hosteldetails.php/PubLove-The-Steam-Engine-Waterloo/London/29389?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free City Maps', 'Free WiFi']","The Steam Engine, Bestplace Inn is a great hostel for those looking to see some of London's best-known sites. Guests tell us 'you can easily walk everywhere in London' from this hostel, including Piccadilly Circus, the London Eye, Big Ben and the Houses of Parliament. Lambeth North tube station is also nearby. Many of our visitors praise this hostel's friendly staff, the 'clean and really comfy beds' and the discounted drinks and pizza in the pub downstairs. One reviewer told us they 'would recommend this to someone wishing to meet real Londoners'."
"PubLove @ The Crown, Battersea",- 4.7km from city centre,(309),7.9,Very Good,https://www.hostelworld.com/pwa/hosteldetails.php/PubLove-The-Crown-Battersea/London/60336?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free City Maps', 'Free WiFi']",-
The Backpackshack,- 10.9km from city centre,(773),8.4,Fabulous,https://www.hostelworld.com/pwa/hosteldetails.php/The-Backpackshack/London/63112?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free Parking', 'Towels Included', 'Free WiFi', 'Free Internet Access']",-
Book a Bed Hostels,- 6.9km from city centre,(1275),7.4,Very Good,https://www.hostelworld.com/pwa/hosteldetails.php/Book-a-Bed-Hostels/London/14746?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free City Maps', 'Free WiFi', 'Free Internet Access']",-
Hootananny Hostel,- 5km from city centre,(1518),8.3,Fabulous,https://www.hostelworld.com/pwa/hosteldetails.php/Hootananny-Hostel/London/24068?from=2023-09-11&to=2023-09-14&guests=2,"['Free Breakfast', 'Linen Included', 'Free City Maps', 'Free WiFi', 'Free Internet Access']",-
Selina Camden,- 5.5km from city centre,(54),8.6,Fabulous,https://www.hostelworld.com/pwa/hosteldetails.php/Selina-Camden/London/310274?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Towels Included', 'Free WiFi', 'Free Internet Access']",-
"PubLove @ The White Ferry, Victoria",- 2.4km from city centre,(369),6.9,Good,https://www.hostelworld.com/pwa/hosteldetails.php/PubLove-The-White-Ferry-Victoria/London/39761?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free City Maps', 'Free WiFi']","The White Ferry, Bestplace Inn is close to Victoria coach and train station in central London. Hostelworld guests say this 'charming' hostel has 'awesome and helpful' staff who 'are lovely and go out of their way to answer any questions and help you out'. We like that this hostel is above a pub which reviewers tell us is 'always fun, filled with great people'; many of our visitors say they 'have stayed in this hostel before and have returned' and will come back again."
PubLove @ The Rose & Crown,- 1.6km from city centre,(202),8.2,Fabulous,https://www.hostelworld.com/pwa/hosteldetails.php/PubLove-The-Rose-Crown/London/297123?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free City Maps', 'Free WiFi']",-
London Waterloo Hostel,- 0.7km from city centre,(2547),6.1,Good,https://www.hostelworld.com/pwa/hosteldetails.php/London-Waterloo-Hostel/London/39493?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Free City Maps', 'Free WiFi', 'Free Internet Access', 'Free City Tour']",-
Kensal Green Backpackers,- 8.2km from city centre,(3724),5.2,-,-,-,-
"PubLove @ The Exmouth Arms, Euston",- 3.4km from city centre,(1087),6.4,Good,-,-,-
"PubLove @ The Green Man, Paddington",- 4.3km from city centre,(451),5.6,-,-,-,-
City Hotel Carlton,- 1.8km from city centre,(50),5.6,-,https://www.hostelworld.com/pwa/hosteldetails.php/City-Hotel-Carlton/London/27551?from=2023-09-11&to=2023-09-14&guests=2,['Free Internet Access'],"Carlton hotel is conveniently situated within walking distance of famous landmarks such as Buckingham palace, Westminister Abbey, The House of Parliament, Trafalgar square and many more...
Preauthorization Policy:

A valid credit card is required for making a reservation.
The Hotel will preauthorize the credit card prior to arrival. It is the guestÃ¯Â¿Â½s responsibility to provide a valid credit card with sufficient funds. The Hotel reserves the right to cancel the booking at anytime if the above information is incorrect."
Zedwell Piccadilly Circus,- 1.6km from city centre,(1),4.9,-,https://www.hostelworld.com/pwa/hosteldetails.php/Zedwell-Piccadilly-Circus/London/319783?from=2023-09-11&to=2023-09-14&guests=2,"['Linen Included', 'Towels Included', 'Free WiFi', 'Free Internet Access']",-
