,subscribed
0,no
1,yes
2,yes
3,no
4,no
5,no
6,no
7,no
8,yes
9,yes
10,no
11,no
12,no
13,no
14,no
15,no
16,yes
17,no
18,no
19,yes
20,yes
21,no
22,no
23,no
24,no
25,yes
26,no
27,no
28,no
29,no
30,no
31,yes
32,no
33,no
34,no
35,no
36,no
37,no
38,no
39,no
40,no
41,no
42,yes
43,yes
44,no
45,no
46,yes
47,yes
48,no
49,yes
50,no
51,no
52,no
53,yes
54,no
55,no
56,no
57,yes
58,no
59,no
60,no
61,no
62,yes
63,no
64,no
65,yes
66,yes
67,no
68,no
69,no
70,no
71,no
72,yes
73,no
74,no
75,no
76,no
77,no
78,no
79,yes
80,no
81,no
82,no
83,yes
84,yes
85,no
86,yes
87,no
88,no
89,no
90,no
91,no
92,no
93,no
94,yes
95,no
96,no
97,no
98,no
99,yes
100,no
101,no
102,no
103,no
104,no
105,no
106,no
107,yes
108,no
109,no
110,no
111,yes
112,no
113,yes
114,no
115,yes
116,no
117,yes
118,no
119,no
120,no
121,no
122,no
123,no
124,no
125,no
126,no
127,no
128,no
129,yes
130,no
131,no
132,no
133,no
134,no
135,yes
136,no
137,no
138,no
139,yes
140,no
141,no
142,no
143,no
144,no
145,no
146,no
147,no
148,yes
149,no
150,no
151,no
152,no
153,no
154,yes
155,no
156,yes
157,yes
158,no
159,no
160,yes
161,yes
162,no
163,no
164,yes
165,no
166,no
167,no
168,yes
169,yes
170,no
171,no
172,yes
173,no
174,yes
175,yes
176,no
177,no
178,yes
179,yes
180,yes
181,no
182,no
183,yes
184,no
185,no
186,no
187,no
188,no
189,yes
190,yes
191,no
192,no
193,no
194,no
195,no
196,yes
197,no
198,no
199,no
200,yes
201,no
202,no
203,no
204,no
205,yes
206,yes
207,yes
208,yes
209,no
210,no
211,no
212,no
213,no
214,no
215,yes
216,yes
217,no
218,yes
219,yes
220,yes
221,no
222,no
223,no
224,no
225,no
226,no
227,no
228,no
229,yes
230,no
231,no
232,no
233,yes
234,yes
235,yes
236,no
237,yes
238,yes
239,no
240,no
241,no
242,no
243,no
244,no
245,yes
246,no
247,yes
248,no
249,yes
250,no
251,yes
252,no
253,no
254,no
255,no
256,yes
257,no
258,no
259,no
260,no
261,yes
262,yes
263,yes
264,no
265,no
266,no
267,no
268,yes
269,no
270,no
271,yes
272,yes
273,yes
274,no
275,no
276,no
277,no
278,no
279,yes
280,no
281,no
282,no
283,yes
284,no
285,yes
286,no
287,no
288,no
289,yes
290,yes
291,no
292,yes
293,no
294,no
295,no
296,yes
297,no
298,yes
299,no
300,no
301,yes
302,no
303,no
304,no
305,no
306,no
307,no
308,no
309,no
310,no
311,no
312,yes
313,yes
