Comment,Comment Time,Comment Upvotes
RIP to all those Armored Core fans who passed away before they could witness this masterpiece ,8 months ago (edited),3.4K
"As a Titanfall fan, I had only ever heard of Armored Core in passing, until this trailer. This looks like everything I wanted from Titanfall. The future-military aesthetic, the inspiration from old anime, the grim undertones.",7 months ago,847
Fromsofts Art department is absolutely God-Tier.,7 months ago,709
i love how the most replayed part is the BRRRRRRRRRRRRTTTTTTT,7 months ago,2.2K
"Armored Core 6's announcement has been a tremendous eye opener when it comes to the different generations of Fromsoft fans. Nothing wrong, mind you, I'm talking about the fans and not the haters. Just happy to see how big they've become that you can easily see the different era of fans they now have. You've got:",8 months ago,875
"Can't get enough of that launch sound at 2:21, paired with incredible OST. This is too epic.",8 months ago,464
"After all these years, the series which defined FROMSOFT. Its so good to be home bros.",8 months ago,3.7K
The way Fromsoft is able to make every frame of their trailers a painting is incredible!,5 months ago,120
Man the music sells how horrifying it is to live in a world like this. I used to be in awe of the armored cores. Now I fear them. And that's a good thing.  I'll carry that fear on the battlefield when I play this game. If anyone wonders where all the grim dark came from for all the souls games.  Look no further than here. This is where it all started.,8 months ago (edited),137
"How does FromSoftware keep doing this? Just classic after classic, other developers wish they could pull off these monolithic works of art.  Perfection",4 months ago,66
"While I know the game's actual graphics will not look as good as the CG in this trailer, I hope it captures the same level of scope and atmosphere. The gritty military realism blended with science fiction in the design aesthetic, the weight and heft of the machines, the ash-coated post-apocalyptic wasteland, that's the kind of dark futuristic feel I would love from a mecha game.",8 months ago,143
You know it’s a dope trailer when you watch it five times and you still want to watch it again lol. I hope this game is good.,8 months ago,198
Words cannot describe how long Armored Core fans have waited and dreamed for this moment.,8 months ago,8.8K
"I was introduced to FromSoft by Chromehounds. Then AC4A. After sadly missing AC5, I am beyond hyped to see 6 come at the perfect time. 

Miyazaki waited until the company was literally at the peak of the industry before dropping another Armored Core on everyone. He wants to make damn sure this franchise succeeds.",6 months ago,33
"Armored Core is what a game franchise should aspire to be. Consistency,  and improvement.  No fluff titles in the series. Every single game is a masterpiece imo. ",3 months ago (edited),29
"The music compliments this imagery so well. A devastated world that has been destroyed over and over again. The hopelessness and desperation as men wage war in cold machines, not only giving themselves a mask to hide behind their actions, but also allowing them to not feel remorse or see the enemy they are truly facing. Leaving no room for sympathy, it is just a war for survival.",7 months ago,60
"Glad to be back as a pilot once again
RIP to all those who didn't make it until now before they can join us again in this series.",6 months ago,48
"I can't get over the sound at 2:00. It actually sounds real and freaks the shit out of you like it should. If the sound quality in the game is anything similar to that, it will already be worth playing.",7 months ago (edited),73
"For anyone wondering, Miyazaki was director on the early stages of production, and the current director is the one behind Sekiro.
We're in for a damn great game.",8 months ago,3K
"I could not be happier about this. I was 8 when I first played an armored core game. And somehow my 8 year old brain loved it and loved building mechs and making them fight. Never realizing I’d fallen in love later with another from software game, Dark Souls. Only to find out a few years ago it’s the same developer.",8 months ago,42
Happy launch day everyone! Isn’t it great that 8 months ago we got this reveals and now we have the game? Wouldn’t it be great if all games did that…? ,7 days ago,4
"For years I've always wanted a good mech combat game, partly because mechs are just sick in general, and partly because I want plenty of customization to design my own mechs. I'm hoping this game delivers on the former.",4 months ago,14
This trailer is just perfectly done,4 months ago,16
2:06 the attention to detail in the arm is absolutely incredible,6 months ago,35
"No cringy narration, no annoying voice-over, just raw, spectacular imagery that speaks for itself. That's one heck of a reveal trailer!",8 months ago (edited),4.9K
"Everyone’s so diverse on the gameplay and how much the game’s changed compared to the older ones, but this is kind of the Armored Core I always wanted. I always felt like the missions were too short and that the game never gave the player enough freedom, but the way things look now, this is the game I’ personally always wanted to play and I pray that it turns out to be great",2 months ago,4
The sound director for this trailer deserves a promotion because it makes the hairs on my arms stand up every god damned time,1 month ago,8
Fromsoftware. You’ve made straight bangers for the longest time. Thank you for all your hard work and I wish you the best for the future,8 months ago,19
"Looking back at this trailer on my 3rd playthrough. Seeing the battle at the Wall, the Cataphract, and the PCA squad that hotdrops on you in chapter 3 is amazing",2 days ago,7
I have only known about Armored Core from the original Playstation way back in 1997. The garage music and customization back then was still amazing. It never ceased to amaze me that you could put tank treads on your mech. Its great to see a trailer for another entry.,5 months ago,10
"A glass raised for the Armored Core fans that couldn't be here with us to witness this moment. 

Our victories on the battlefield will be in your name.",8 months ago (edited),1.9K
"As a kid, I always wonder why Armored Core's Helicopter are so fkn huge and menacing. Seeing this now, they done made them even more huge and menacing. Probably one of the most dominant design for helicopters in gaming.",2 months ago,4
"No puedo parar de verlo, yo nunca he jugado antes un Armored Core, si lo habre visto alguna vez algun gameplay, pero este trailer, el OST, me eriza los pelos, me da una sensacion brutal, como te quiero FromSoftware, son los unicos a los que les reservo los juegos a ojos cerrados, la unica compañia que nunca me ha defraudado y se toma todo el tiempo que necesiten para sacar un juego completo, sin DLC ni microtransacciones.",7 months ago,9
"Best trailer of the entire game awards, sends shivers down my spine every time i watch it.",8 months ago,17
